"Year","Duration","Rating","Review","Budget","Collection","Drama","Crime","Action","Biography","History","Adventure","Western","Romance","Sci-Fi","Fantasy","Mystery","Family","Thriller","War","Comedy","Animation","Music","Horror","Film-Noir","Musical","Sport","Net_income","Profitable","Duration_z-score","Rating_z-score","Review_z-score","Budget_z-score","Collection_z-score","Net_income_z-score"
1994,142,9.3,2900000,25000000,28905764,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3905764,"0",0.397811065405132,4.17191422770997,3.9547870048826,0.0408793821072568,-0.685043198547868,-0.772688467143663
1972,175,9.2,2000000,6000000,250342030,"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",244342030,"1",1.50098460812524,3.74982658832207,2.3411941479625,-0.625918142751096,0.564416021969276,0.743010084750343
2008,152,9,2900000,93000000,538375067,"1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",445375067,"1",0.73210607835062,2.90565130954628,3.9547870048826,2.42731262896873,2.1896490535505,2.01031259336505
1974,202,9,1400000,13000000,47962897,"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",34962897,"1",2.40358114307806,2.90565130954628,1.26546557668244,-0.38025589675065,-0.577512887575809,-0.576905807991572
1957,96,9,862000,350000,2667,"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",-347333,"0",-1.13994599414412,2.90565130954628,0.300895624434651,-0.824202669880028,-0.848129587694944,-0.799499784218288
1993,195,9,1400000,22000000,322161245,"1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",300161245,"1",2.16957463401622,2.90565130954628,1.26546557668244,-0.06440443760722,0.96965759333886,1.09489170706501
2003,201,9,2000000,94000000,426076293,"1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",332076293,"1",2.37015164178351,2.90565130954628,2.3411941479625,2.46240723554022,1.55600064011911,1.29608262074035
1994,154,8.9,2200000,8000000,213928762,"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",205928762,"1",0.798965080939718,2.48356367015838,2.69977033838919,-0.555728929608112,0.358953320336826,0.500854707569779
2001,178,8.9,2000000,93000000,465387186,"1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",372387186,"1",1.60127311200889,2.48356367015838,2.3411941479625,2.42731262896873,1.77781325741466,1.55020053382445
1966,182,8.8,810000,1200000,25259657,"0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",24059657,"1",1.73499111718709,2.06147603077049,0.207665814923712,-0.794372254294259,-0.705616441099484,-0.645639303790217
1994,142,8.8,2300000,55000000,678226465,"1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",623226465,"1",0.397811065405132,2.06147603077049,2.87905843360254,1.09371757925202,2.97876378118645,3.13147917478636
2002,179,8.8,1800000,94000000,465387186,"1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",371387186,"1",1.63470261330344,2.06147603077049,1.98261795753582,2.46240723554022,1.77781325741466,1.54389658235694
1999,139,8.8,2300000,63000000,101320107,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",38320107,"0",0.297522561521485,2.06147603077049,2.87905843360254,1.37447443182396,-0.276443603759537,-0.555742119085323
2010,148,8.8,2500000,93000000,426076293,"0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",333076293,"1",0.598388073172425,2.06147603077049,3.23763462402922,2.42731262896873,1.55600064011911,1.30238657220786
1980,124,8.7,1400000,18000000,538375067,"0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0",520375067,"1",-0.203919957896748,1.63938839138259,1.26546557668244,-0.204782863893189,2.1896490535505,2.48310895342852
2024,166,8.8,325000,13000000,303723636,"1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",290723636,"1",1.2001190964743,2.06147603077049,-0.661881446861006,-0.38025589675065,0.865622960776279,1.03539747795965
1999,136,8.7,2000000,63000000,467623299,"0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",404623299,"1",0.197234057637838,1.63938839138259,2.3411941479625,1.37447443182396,1.7904305764132,1.75341542567771
1990,145,8.7,1300000,25000000,47049784,"1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",22049784,"0",0.498099569288778,1.63938839138259,1.0861774814691,0.0408793821072568,-0.582665148665797,-0.658309445638081
1975,133,8.7,1100000,3000000,109114987,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",106114987,"1",0.0969455537541919,1.63938839138259,0.727601291042409,-0.731201962465573,-0.232460814197755,-0.128366485819467
1995,127,8.6,1800000,33000000,327333559,"1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",294333559,"1",-0.103631454013101,1.21730075199469,1.98261795753582,0.321636234679195,0.998842493967151,1.0581542573531
2014,169,8.7,2100000,93000000,375325692,"1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",282325692,"1",1.30040760035795,1.63938839138259,2.52048224317585,2.42731262896873,1.26963920749706,0.982457246556754
1946,130,8.6,498000,3180000,9767242,"1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0",6587242,"1",-0.0033429501294547,1.21730075199469,-0.351713042141921,-0.724884933282705,-0.793032748823116,-0.75578455997046
1954,207,8.6,366000,800000,346258,"1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",-453742,"0",2.57072864955081,1.21730075199469,-0.588373327823535,-0.808410096922856,-0.846190867580161,-0.800170581389994
1991,118,8.6,1500000,19000000,272742922,"1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",253742922,"1",-0.404496965664041,1.21730075199469,1.44475367189578,-0.169688257321697,0.690813569953619,0.802272851669673
1998,169,8.6,1500000,70000000,482351251,"1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0",412351251,"1",1.30040760035795,1.21730075199469,1.44475367189578,1.62013667782441,1.8735333840885,1.80213206002898
2002,130,8.6,799000,181500,30680793,"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",30499293,"1",-0.0033429501294547,1.21730075199469,0.187944124450244,-0.830116111087324,-0.675027556617132,-0.605044150977768
1997,116,8.6,742000,20000000,230099013,"1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0",210099013,"1",-0.471355968253139,1.21730075199469,0.0857499101786381,-0.134593650750205,0.450194333270211,0.527143767481126
1999,189,8.6,1400000,60000000,286801374,"1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0",226801374,"1",1.96899762624893,1.21730075199469,1.26546557668244,1.26919061210949,0.770138708490762,0.632434640618005
1991,137,8.6,1200000,102000000,520881154,"0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",418881154,"1",0.230663558932387,1.21730075199469,0.906889386255753,2.74316408811216,2.09093924735834,1.84329625162855
1977,121,8.6,1400000,11000000,272742922,"0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0",261742922,"1",-0.304208461780394,1.21730075199469,1.26546557668244,-0.450445109893635,0.690813569953619,0.852704463409775
1985,116,8.5,1300000,19000000,106285522,"0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0",87285522,"1",-0.471355968253139,0.795213112606796,1.0861774814691,-0.169688257321697,-0.248426135494225,-0.247066519338698
2001,125,8.6,847000,19000000,357561772,"0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0",338561772,"1",-0.170490456602199,1.21730075199469,0.274002410152649,-0.169688257321697,1.16940588060142,1.33696676559992
2002,150,8.5,910000,35000000,120098565,"1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0",85098565,"1",0.665247075761523,0.795213112606796,0.386953910137056,0.391825447822179,-0.170485722880197,-0.260852990128236
2019,132,8.5,954000,11400000,262099264,"1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",250699264,"1",0.063516052459643,0.795213112606796,0.465840672030927,-0.436407267265038,0.630756485048967,0.783085779353965
1960,109,8.5,717000,806947,32060008,"0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0",31253061,"1",-0.705362477314981,0.795213112606796,0.0409278863753021,-0.808166294691004,-0.667245304279,-0.600292434088004
2023,140,8.6,365000,90000000,690897910,"0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0",600897910,"1",0.330952062816034,1.21730075199469,-0.590166208775668,2.32202880925425,3.05026270084637,2.99072104772667
2000,155,8.5,1600000,103000000,465387186,"1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",362387186,"1",0.832394582234267,0.795213112606796,1.62404176710913,2.77825869468365,1.77781325741466,1.48716101914932
1994,88,8.5,1100000,45000000,134686457,"1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0",89686457,"1",-1.40738200450051,0.795213112606796,0.727601291042409,0.742771513537102,-0.0881732069741151,-0.231931141622045
1994,110,8.5,1200000,18890015,19570198,"1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",680183,"0",-0.671932976020432,0.795213112606796,0.906889386255753,-0.173548137625462,-0.737719344276619,-0.793022373222195
2006,151,8.5,1400000,90000000,291481358,"1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",201481358,"1",0.698676577056071,0.795213112606796,1.26546557668244,2.32202880925425,0.796545625778072,0.472818488597357
1998,119,8.5,1200000,20000000,23875714,"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3875714,"0",-0.371067464369492,0.795213112606796,0.906889386255753,-0.134593650750205,-0.713425371286286,-0.772877900885262
2014,106,8.5,985000,3300000,49449489,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0",46149489,"1",-0.805650981198627,0.795213112606796,0.521419981547064,-0.720673580494125,-0.569124758047166,-0.506386074936705
2006,130,8.5,1400000,40000000,109676311,"1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0",69676311,"1",-0.0033429501294547,0.795213112606796,1.26546557668244,0.567298480679641,-0.229293530625978,-0.358074130863891
